Week,Feature set,Feature count,Threshold,Validation F1,Accuracy,Precision,Recall,F1,AUC
week2,combined_all,18,0.38452556311887703,0.7179216668864566,0.6821598404663292,0.6125924266188663,0.8885277868053298,0.7251989389920425,0.7806297288819959
week2,engagement_only,10,0.3818291286012067,0.7040121120363362,0.6422764227642277,0.5778799916370478,0.8982775430614235,0.7033078880407124,0.7470231896149139
week2,demographics_only,8,0.34643157910156064,0.6581344402167647,0.5447154471544715,0.50982513070128,0.9190770230744232,0.6558441558441559,0.6608545964445021
week4,combined_all,18,0.4004589016678971,0.7319504310344827,0.699033594109526,0.6292603756086251,0.8820279493012675,0.7345060893098783,0.7986152721254601
week4,engagement_only,10,0.41534611251222264,0.7203591233166095,0.6769443166129775,0.6102156640181612,0.8735781605459864,0.7185244587008821,0.7693334758438127
week4,demographics_only,8,0.3575240177797284,0.6582337784024362,0.5493173799662525,0.5128016209246639,0.9047773805654858,0.6545967552316012,0.6610715724262617
week6,combined_all,18,0.4396616632319712,0.7419536984754377,0.7205092805645038,0.6557458426408538,0.8586285342866429,0.7435969603152266,0.8139029201492507
week6,engagement_only,10,0.4143354603295282,0.7259815087766315,0.6867617732781102,0.6201532389133968,0.8680532986675333,0.7234561213434453,0.7861371231553028
week6,demographics_only,8,0.34643157910156064,0.6581344402167647,0.5447154471544715,0.50982513070128,0.9190770230744232,0.6558441558441559,0.6608545964445021
week8,combined_all,18,0.42952466781832915,0.7570889789076687,0.7378432274888787,0.6675649191572759,0.8856028599285017,0.7612795083112166,0.8342808171515642
week8,engagement_only,10,0.39569235944304776,0.7454207592248474,0.7024083448381654,0.6296465222348917,0.8973025674358142,0.7400160814794962,0.807284350139939
week8,demographics_only,8,0.34643157910156064,0.6581344402167647,0.5447154471544715,0.50982513070128,0.9190770230744232,0.6558441558441559,0.6608545964445021
