Week,Best model,Best params,Accuracy,Precision,Recall,F1,AUC,CV AUC,Why this model won
week2,pipeline_5_catboost.pkl,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",0.6887559441632152,0.6205151793928243,0.8768280792980175,0.7267340067340068,0.7817059221979648,0.7728716935648944,Highest holdout AUC (0.782) with F1 0.727 at threshold 0.40
week4,pipeline_5_catboost.pkl,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 7, ""learning_rate"": 0.05}",0.7016413560362019,0.6324906367041199,0.87812804679883,0.7353381412437067,0.7989202470693607,0.7912695702163091,Highest holdout AUC (0.799) with F1 0.735 at threshold 0.41
week6,pipeline_5_catboost.pkl,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",0.718361711919006,0.6520460671404068,0.8648033799155022,0.7435037720033529,0.8141830155582543,0.8062621657900036,Highest holdout AUC (0.814) with F1 0.744 at threshold 0.43
week8,pipeline_5_catboost.pkl,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",0.7330878969167051,0.6592804384083869,0.8992525186870328,0.7607918614242507,0.8339680053902198,0.8257434302317791,Highest holdout AUC (0.834) with F1 0.761 at threshold 0.40
