week,week_cutoff,pipeline_id,model,model_group,feature_set,preprocessing,evaluation_method,threshold,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
week6,6,GBM_Task5_style,GBM_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7276,0.0058,0.6939,0.0061,0.7568,0.0068,0.724,0.0057,0.8072,0.0055
week6,6,RF_weighted_Task5_style,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.721,0.0038,0.6922,0.0042,0.7363,0.0047,0.7136,0.0039,0.7983,0.0045
week6,6,KNN_Task5_style,KNN_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6731,0.0071,0.656,0.0093,0.6466,0.006,0.6513,0.0063,0.7261,0.0067
week8,8,LR_weighted_onehot,LR_weighted_onehot,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7268,0.0025,0.7129,0.0041,0.7054,0.0047,0.7091,0.0026,0.8044,0.0036
week8,8,RandomForest_ordinal,RandomForest_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7382,0.0054,0.7047,0.0071,0.767,0.009,0.7345,0.0053,0.8214,0.0065
week8,8,GradientBoosting_ordinal,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.745,0.0063,0.7078,0.0076,0.7832,0.0064,0.7436,0.0057,0.8268,0.0051
week8,8,RF_calibrated_Task5_style,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7383,0.0054,0.6905,0.006,0.8078,0.0081,0.7445,0.0052,0.8216,0.005
week8,8,GBM_Task5_style,GBM_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7456,0.0033,0.7084,0.0049,0.7836,0.0088,0.7441,0.0037,0.8272,0.0057
week8,8,RF_weighted_Task5_style,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7373,0.006,0.7057,0.0082,0.761,0.0068,0.7322,0.0052,0.8188,0.0065
week8,8,KNN_Task5_style,KNN_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6827,0.0049,0.6658,0.0068,0.6584,0.0034,0.6621,0.004,0.7413,0.0067
