pipeline_id,week_cutoff,feature_set,preprocessing,model,model_group,evaluation_method,threshold,seed,accuracy_mean,precision_mean,recall_mean,f1_mean,auc_mean,accuracy_std,precision_std,recall_std,f1_std,auc_std
B3_SGD_Logistic,6,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B3_SGD_Logistic,Task 4 baseline,5-fold stratified CV,0.5,42,0.7129,0.688,0.7175,0.7022,0.7832,0.0052,0.0082,0.0232,0.0092,0.0066
B4_KNN,6,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B4_KNN,Task 4 baseline,5-fold stratified CV,0.5,42,0.6998,0.6825,0.681,0.6817,0.7678,0.0036,0.0061,0.0061,0.003,0.0051
B5_GaussianNB,6,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B5_GaussianNB,Task 4 baseline,5-fold stratified CV,0.5,42,0.6426,0.7319,0.3831,0.5028,0.7237,0.0038,0.0047,0.012,0.0103,0.0033
B6_Bagging_LogisticRegression,6,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B6_Bagging_LogisticRegression,Task 4 baseline,5-fold stratified CV,0.5,42,0.712,0.7119,0.6551,0.6823,0.7886,0.0039,0.0065,0.0038,0.0033,0.0033
B1_LogisticRegression,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B1_LogisticRegression,Task 4 baseline,5-fold stratified CV,0.5,42,0.723,0.7236,0.6687,0.695,0.8043,0.004,0.0073,0.0032,0.0029,0.0036
B2_L1_Regularised_LogisticRegression,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B2_L1_Regularised_LogisticRegression,Task 4 baseline,5-fold stratified CV,0.5,42,0.7229,0.7236,0.6685,0.6949,0.8043,0.0037,0.0069,0.0034,0.0026,0.0035
B3_SGD_Logistic,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B3_SGD_Logistic,Task 4 baseline,5-fold stratified CV,0.5,42,0.7255,0.7052,0.7199,0.7121,0.7976,0.0056,0.0096,0.0222,0.0087,0.0052
B4_KNN,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B4_KNN,Task 4 baseline,5-fold stratified CV,0.5,42,0.711,0.6948,0.6916,0.6932,0.783,0.0077,0.0089,0.01,0.0083,0.0052
B5_GaussianNB,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B5_GaussianNB,Task 4 baseline,5-fold stratified CV,0.5,42,0.6452,0.7445,0.3781,0.5012,0.7334,0.0067,0.0068,0.0201,0.0175,0.0026
B6_Bagging_LogisticRegression,8,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,B6_Bagging_LogisticRegression,Task 4 baseline,5-fold stratified CV,0.5,42,0.7229,0.7235,0.6688,0.695,0.8042,0.003,0.0058,0.0044,0.0023,0.0035
LR_weighted_onehot,2,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,LR_weighted_onehot,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6869,0.6713,0.6595,0.6654,0.753,0.0042,0.0052,0.0039,0.0041,0.0033
RandomForest_ordinal,2,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RandomForest_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6908,0.6638,0.6991,0.681,0.7608,0.004,0.0055,0.0028,0.0029,0.0058
GradientBoosting_ordinal,2,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7009,0.6718,0.7167,0.6935,0.7731,0.0048,0.0062,0.0032,0.0038,0.005
RF_calibrated_Task5_style,2,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6969,0.6586,0.7433,0.6983,0.7699,0.0034,0.0044,0.0048,0.0027,0.005
GBM_Task5_style,2,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GBM_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7012,0.6718,0.7176,0.6939,0.7726,0.0044,0.0056,0.0043,0.0038,0.0052
RF_weighted_Task5_style,2,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6904,0.6659,0.691,0.6782,0.7577,0.0039,0.0054,0.0049,0.0033,0.0065
KNN_Task5_style,2,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,KNN_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.6504,0.6352,0.6094,0.622,0.6936,0.008,0.009,0.0082,0.0084,0.0076
LR_weighted_onehot,4,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,LR_weighted_onehot,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7023,0.6875,0.6771,0.6822,0.7725,0.0031,0.0034,0.0033,0.0033,0.0044
RandomForest_ordinal,4,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RandomForest_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.708,0.6792,0.7228,0.7003,0.7831,0.0051,0.0043,0.0081,0.006,0.0065
GradientBoosting_ordinal,4,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7142,0.6825,0.7379,0.7091,0.7923,0.0055,0.0055,0.0071,0.0057,0.0052
RF_calibrated_Task5_style,4,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,5-fold stratified CV,0.5,42,0.7104,0.6692,0.7644,0.7136,0.7881,0.0068,0.0074,0.0067,0.006,0.0055
