week,week_cutoff,pipeline_id,model,model_group,feature_set,preprocessing,evaluation_method,threshold,seed,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
week4,4,B6_Bagging_LogisticRegression,B6_Bagging_LogisticRegression,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6993,0.0038,0.6999,0.0047,0.6356,0.004,0.6662,0.0041,0.7723,0.0042
week6,6,B1_LogisticRegression,B1_LogisticRegression,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7118,0.0032,0.7118,0.0056,0.6546,0.0042,0.682,0.0029,0.7887,0.0034
week6,6,B2_L1_Regularised_LogisticRegression,B2_L1_Regularised_LogisticRegression,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7119,0.0031,0.7119,0.0054,0.6545,0.0044,0.682,0.0028,0.7887,0.0034
week6,6,B3_SGD_Logistic,B3_SGD_Logistic,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7129,0.0052,0.688,0.0082,0.7175,0.0232,0.7022,0.0092,0.7832,0.0066
week6,6,B4_KNN,B4_KNN,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6998,0.0036,0.6825,0.0061,0.681,0.0061,0.6817,0.003,0.7678,0.0051
week6,6,B5_GaussianNB,B5_GaussianNB,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6426,0.0038,0.7319,0.0047,0.3831,0.012,0.5028,0.0103,0.7237,0.0033
week6,6,B6_Bagging_LogisticRegression,B6_Bagging_LogisticRegression,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.712,0.0039,0.7119,0.0065,0.6551,0.0038,0.6823,0.0033,0.7886,0.0033
week8,8,B1_LogisticRegression,B1_LogisticRegression,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.723,0.004,0.7236,0.0073,0.6687,0.0032,0.695,0.0029,0.8043,0.0036
week8,8,B2_L1_Regularised_LogisticRegression,B2_L1_Regularised_LogisticRegression,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7229,0.0037,0.7236,0.0069,0.6685,0.0034,0.6949,0.0026,0.8043,0.0035
week8,8,B3_SGD_Logistic,B3_SGD_Logistic,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7255,0.0056,0.7052,0.0096,0.7199,0.0222,0.7121,0.0087,0.7976,0.0052
week8,8,B4_KNN,B4_KNN,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.711,0.0077,0.6948,0.0089,0.6916,0.01,0.6932,0.0083,0.783,0.0052
week8,8,B5_GaussianNB,B5_GaussianNB,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6452,0.0067,0.7445,0.0068,0.3781,0.0201,0.5012,0.0175,0.7334,0.0026
week8,8,B6_Bagging_LogisticRegression,B6_Bagging_LogisticRegression,Task 4 baseline,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7229,0.003,0.7235,0.0058,0.6688,0.0044,0.695,0.0023,0.8042,0.0035
week2,2,LR_weighted_onehot,LR_weighted_onehot,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OneHotEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6869,0.0042,0.6713,0.0052,0.6595,0.0039,0.6654,0.0041,0.753,0.0033
week2,2,RandomForest_ordinal,RandomForest_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6908,0.004,0.6638,0.0055,0.6991,0.0028,0.681,0.0029,0.7608,0.0058
week2,2,GradientBoosting_ordinal,GradientBoosting_ordinal,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7009,0.0048,0.6718,0.0062,0.7167,0.0032,0.6935,0.0038,0.7731,0.005
week2,2,RF_calibrated_Task5_style,RF_calibrated_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6969,0.0034,0.6586,0.0044,0.7433,0.0048,0.6983,0.0027,0.7699,0.005
week2,2,GBM_Task5_style,GBM_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.7012,0.0044,0.6718,0.0056,0.7176,0.0043,0.6939,0.0038,0.7726,0.0052
week2,2,RF_weighted_Task5_style,RF_weighted_Task5_style,Task 6 / Task 5-style comparison,Task 3 processed features,SimpleImputer + OrdinalEncoder + StandardScaler,5-fold stratified CV,0.5,42,0.6904,0.0039,0.6659,0.0054,0.691,0.0049,0.6782,0.0033,0.7577,0.0065
